,Company Name,Location,Link
0,Abello IP Firm,Paris,https://www.legal500.com/firms/17741-abello-ip-firm/23693-paris-france/
1,ABPA - Apelbaum Bendavid Poincloux Associés,Paris,https://www.legal500.com/firms/235350-abpa-apelbaum-bendavid-poincloux-associes/234795-paris-france/
2,Aceris Law,Paris,https://www.legal500.com/firms/18555-aceris-law/25210-paris-france/
3,Actance,Paris,https://www.legal500.com/firms/16958-actance/22039-paris-france/
4,Alerion,Paris,https://www.legal500.com/firms/14944-alerion/20144-paris-france/
5,Aliénor Avocats,Paris,https://www.legal500.com/firms/231065-alienor-avocats/230978-paris-france/
6,Almain,Paris,https://www.legal500.com/firms/17986-almain/24057-paris-france/
7,Altana,Paris,https://www.legal500.com/firms/14647-altana/19284-paris-france/
8,APG,Paris,https://www.legal500.com/firms/235388-apg/234833-paris-france/
9,Aramis,Paris,https://www.legal500.com/firms/14789-aramis/19499-paris-france/
10,Archers A.A.R.P.I.,Paris,https://www.legal500.com/firms/14506-archers-aarpi/18958-paris-france/
11,Arendt & Medernach,Paris,https://www.legal500.com/firms/10023-arendt-medernach/24643-paris-france/
12,Arsene,Paris,https://www.legal500.com/firms/11193-arsene/11963-paris-france/
13,Asafo & Co.,Paris,https://www.legal500.com/firms/233784-asafo-co/233527-paris-france/
14,Astura,Paris,https://www.legal500.com/firms/16684-astura/21515-paris-france/
15,Atmos Avocats,Paris,https://www.legal500.com/firms/10286-atmos-avocats/10318-paris-france/
16,August Debouzy,Paris,https://www.legal500.com/firms/13777-august-debouzy/14605-paris-france/
17,Avanty Avocats,PARIS,https://www.legal500.com/firms/232117-avanty-avocats/231980-paris-france/
18,AyacheSalama,Paris,https://www.legal500.com/firms/13597-ayachesalama/14378-paris-france/
19,Barbier Legal,Paris,https://www.legal500.com/firms/17870-barbier-legal/23888-paris-france/
20,Bardehle Pagenberg,Paris,https://www.legal500.com/firms/11431-bardehle-pagenberg/11448-paris-france/
21,Baro Alto,PARIS,https://www.legal500.com/firms/17447-baro-alto/23274-paris-france/
22,BCTG Avocats,Paris,https://www.legal500.com/firms/11668-bctg-avocats/12619-paris-france/
23,BDGS Associés,Paris,https://www.legal500.com/firms/16693-bdgs-associes/21531-paris-france/
24,Behring,Paris,https://www.legal500.com/firms/17397-behring/23163-paris-france/
25,Benoliel Avocats,Paris,https://www.legal500.com/firms/17029-benoliel-avocats/22697-paris-france/
26,BG2V,Paris,https://www.legal500.com/firms/16874-bg2v/21898-paris-france/
27,Bichot & Associés,Paris,https://www.legal500.com/firms/15004-bichot-associes/20248-paris-france/
28,Bochamp,Paris,https://www.legal500.com/firms/17536-bochamp/23407-paris-france/
29,Boken,Paris,https://www.legal500.com/firms/14760-boken/19443-paris-france/
30,Bolze Associés,Paris,https://www.legal500.com/firms/14958-bolze-associes/20165-paris-france/
31,Borrel Avocats,Paris,https://www.legal500.com/firms/17866-borrel-avocats/23866-paris-france/
32,Bougartchev Moyne Associés,Paris,https://www.legal500.com/firms/18256-bougartchev-moyne-associes/24827-paris-france/
33,Branche Masset & Associés,Paris,https://www.legal500.com/firms/17813-branche-masset-associes/23800-paris-france/
34,brL Avocats,Paris,https://www.legal500.com/firms/17386-brl-avocats/23152-paris-france/
35,Brown Rudnick LLP,Paris,https://www.legal500.com/firms/50158-brown-rudnick-llp/22007-paris-france/
36,CABANES Avocats,Paris,https://www.legal500.com/firms/235359-cabanes-avocats/234804-paris-france/
37,Cabinet Bouchara Avocats,Paris,https://www.legal500.com/firms/15715-cabinet-bouchara-avocats/20658-paris-france/
38,Cabinet Maisonneuve,Paris,https://www.legal500.com/firms/14585-cabinet-maisonneuve/19164-paris-france/
39,Cabinet Menasce Chiche,Paris,https://www.legal500.com/firms/16936-cabinet-menasce-chiche/21990-paris-france/
40,Cabinet Neuer,Paris,https://www.legal500.com/firms/14433-cabinet-neuer/18795-paris-france/
41,Carbonnier Lamaze Rasle,Paris,https://www.legal500.com/firms/20584-carbonnier-lamaze-rasle/20682-paris-france/
42,CBR & Associés,Paris,https://www.legal500.com/firms/12067-cbr-associes/13532-paris-france/
43,Clifford Chance,Paris,https://www.legal500.com/firms/679-clifford-chance/10930-paris-france/
44,CMS Francis Lefebvre Lyon Avocats,Lyon,https://www.legal500.com/firms/557-cms-francis-lefebvre-lyon-avocats/21131-lyon-france/
45,Coblence Avocats,Paris,https://www.legal500.com/firms/10129-coblence-avocats/10138-paris-france/
46,"Corus, Société d'avocats",Paris,https://www.legal500.com/firms/16853-corus-societe-davocats/21837-paris-france/
47,Courrégé-Foreman,Paris,https://www.legal500.com/firms/17983-courrege-foreman/24054-paris-france/
48,"Curtis, Mallet-Prevost, Colt & Mosle LLP",Paris,https://www.legal500.com/firms/51309-curtis-mallet-prevost-colt-mosle-llp/12083-paris-france/
49,Darrois Villey Maillot Brochier,Paris,https://www.legal500.com/firms/10140-darrois-villey-maillot-brochier/10152-paris-france/
50,Debevoise & Plimpton LLP,Paris,https://www.legal500.com/firms/50273-debevoise-plimpton-llp/13603-paris-france/
51,De Castro & Stasse,Paris,https://www.legal500.com/firms/18394-de-castro-stasse/25001-paris-france/
52,Dechert LLP,Paris,https://www.legal500.com/firms/9038-dechert-llp/14617-paris-france/
53,De Gaulle Fleurance & Associés,Paris,https://www.legal500.com/firms/15892-de-gaulle-fleurance-associes/16515-paris-france/
54,Degroux Brugère,Paris,https://www.legal500.com/firms/15202-degroux-brugere/20546-paris-france/
55,Dentons,Paris,https://www.legal500.com/firms/895-dentons/10770-paris-france/
56,De Pardieu Brocas Maffei,Paris,https://www.legal500.com/firms/10152-de-pardieu-brocas-maffei/10164-paris-france/
57,Deprez Guignot Associés,Paris,https://www.legal500.com/firms/11882-deprez-guignot-associes/12973-paris-france/
58,Desanlis,Paris,https://www.legal500.com/firms/15000-desanlis/20237-paris-france/
59,Diametis AARPI,Paris,https://www.legal500.com/firms/18160-diametis-aarpi/24696-paris-france/
60,DLA Piper,Paris,https://www.legal500.com/firms/908-dla-piper/12119-paris-france/
61,DTMV & Associés,Paris,https://www.legal500.com/firms/11828-dtmv-associes/12900-paris-france/
62,DWF (France) AARPI,Paris,https://www.legal500.com/firms/867-dwf-france-aarpi/22802-paris-france/
63,Earth Avocats,Paris,https://www.legal500.com/firms/14459-earth-avocats/18875-paris-france/
64,EBL Lexington Avocats,Paris,https://www.legal500.com/firms/16698-ebl-lexington-avocats/21547-paris-france/
65,Effective IP,Paris,https://www.legal500.com/firms/235461-effective-ip/234905-paris-france/
66,Eversheds Sutherland (France) LLP,Paris,https://www.legal500.com/firms/50974-eversheds-sutherland-france-llp/10950-paris-france/
67,FACTORHY,Paris,https://www.legal500.com/firms/233677-factorhy/233424-paris-france/
68,Fairway A.A.R.P.I.,Paris,https://www.legal500.com/firms/15890-fairway-aarpi/20686-paris-france/
69,FBT Attorneys-at-Law,Paris,https://www.legal500.com/firms/11184-fbt-attorneys-at-law/20279-paris-france/
70,Fierville Ziadé,Paris,https://www.legal500.com/firms/232127-fierville-ziade/231990-paris-france/
71,Fleurus Avocats,Paris,https://www.legal500.com/firms/235785-fleurus-avocats/235201-paris-france/
72,Flichy Grangé Avocats,Paris,https://www.legal500.com/firms/22050-flichy-grange-avocats/22050-paris-france/
73,Foley Hoag,Paris,https://www.legal500.com/firms/50332-foley-hoag/20710-paris-france/
74,Franklin,Paris,https://www.legal500.com/firms/21594-franklin/10102-paris-france/
75,Fréget Glaser & Associés,Paris,https://www.legal500.com/firms/17034-freget-glaser-associes/22702-paris-france/
76,FTMS Avocats,Paris,https://www.legal500.com/firms/13789-ftms-avocats/14641-paris-france/
77,FTPA,Paris,https://www.legal500.com/firms/10064-ftpa/10067-paris-france/
78,Galembert Avocats,Paris,https://www.legal500.com/firms/233481-galembert-avocats/233235-paris-france/
79,GFK CONSEILS-JURIDIS,NICE,https://www.legal500.com/firms/234421-gfk-conseils-juridis/234076-nice-france/
